Fra-tid;Til-tid;Rådhuset | PM2.5 | µg.m³
5.1.2016 0:00;5.1.2016 1:00;5.3
5.1.2016 1:00;5.1.2016 2:00;4.5
5.1.2016 2:00;5.1.2016 3:00;4.3
5.1.2016 3:00;5.1.2016 4:00;3.9
5.1.2016 4:00;5.1.2016 5:00;3.6
5.1.2016 5:00;5.1.2016 6:00;4.4
5.1.2016 6:00;5.1.2016 7:00;4.1
5.1.2016 7:00;5.1.2016 8:00;4.7
5.1.2016 8:00;5.1.2016 9:00;3.6
5.1.2016 9:00;5.1.2016 10:00;3.3
5.1.2016 10:00;5.1.2016 11:00;3.7
5.1.2016 11:00;5.1.2016 12:00;3.6
5.1.2016 12:00;5.1.2016 13:00;3.9
5.1.2016 13:00;5.1.2016 14:00;4.7
5.1.2016 14:00;5.1.2016 15:00;4.8
5.1.2016 15:00;5.1.2016 16:00;6.8
5.1.2016 16:00;5.1.2016 17:00;6
5.1.2016 17:00;5.1.2016 18:00;5.4
5.1.2016 18:00;5.1.2016 19:00;6.2
5.1.2016 19:00;5.1.2016 20:00;5.5
5.1.2016 20:00;5.1.2016 21:00;7.4
5.1.2016 21:00;5.1.2016 22:00;5.5
5.1.2016 22:00;5.1.2016 23:00;4.1
5.1.2016 23:00;5.2.2016 0:00;4.5
5.2.2016 0:00;5.2.2016 1:00;3.2
5.2.2016 1:00;5.2.2016 2:00;2.8
5.2.2016 2:00;5.2.2016 3:00;3.7
5.2.2016 3:00;5.2.2016 4:00;3.9
5.2.2016 4:00;5.2.2016 5:00;3.1
5.2.2016 5:00;5.2.2016 6:00;2.9
5.2.2016 6:00;5.2.2016 7:00;2.8
5.2.2016 7:00;5.2.2016 8:00;3.3
5.2.2016 8:00;5.2.2016 9:00;2.8
5.2.2016 9:00;5.2.2016 10:00;4
5.2.2016 10:00;5.2.2016 11:00;3.5
5.2.2016 11:00;5.2.2016 12:00;4.3
5.2.2016 12:00;5.2.2016 13:00;4.5
5.2.2016 13:00;5.2.2016 14:00;4.2
5.2.2016 14:00;5.2.2016 15:00;2.8
5.2.2016 15:00;5.2.2016 16:00;3.9
5.2.2016 16:00;5.2.2016 17:00;3.3
5.2.2016 17:00;5.2.2016 18:00;2.1
5.2.2016 18:00;5.2.2016 19:00;3.6
5.2.2016 19:00;5.2.2016 20:00;4.1
5.2.2016 20:00;5.2.2016 21:00;4
5.2.2016 21:00;5.2.2016 22:00;4.8
5.2.2016 22:00;5.2.2016 23:00;4
5.2.2016 23:00;5.3.2016 0:00;4
5.3.2016 0:00;5.3.2016 1:00;3.2
5.3.2016 1:00;5.3.2016 2:00;2.7
5.3.2016 2:00;5.3.2016 3:00;3.5
5.3.2016 3:00;5.3.2016 4:00;3.6
5.3.2016 4:00;5.3.2016 5:00;3.6
5.3.2016 5:00;5.3.2016 6:00;5.8
5.3.2016 6:00;5.3.2016 7:00;5.8
5.3.2016 7:00;5.3.2016 8:00;5.5
5.3.2016 8:00;5.3.2016 9:00;6.3
5.3.2016 9:00;5.3.2016 10:00;9.4
5.3.2016 10:00;5.3.2016 11:00;10.1
5.3.2016 11:00;5.3.2016 12:00;7.1
5.3.2016 12:00;5.3.2016 13:00;7.1
5.3.2016 13:00;5.3.2016 14:00;6.4
5.3.2016 14:00;5.3.2016 15:00;7.5
5.3.2016 15:00;5.3.2016 16:00;7.1
5.3.2016 16:00;5.3.2016 17:00;7.5
5.3.2016 17:00;5.3.2016 18:00;7.6
5.3.2016 18:00;5.3.2016 19:00;7.5
5.3.2016 19:00;5.3.2016 20:00;7.6
5.3.2016 20:00;5.3.2016 21:00;8.6
5.3.2016 21:00;5.3.2016 22:00;8.7
5.3.2016 22:00;5.3.2016 23:00;8.6
5.3.2016 23:00;5.4.2016 0:00;8.9
5.4.2016 0:00;5.4.2016 1:00;7.9
5.4.2016 1:00;5.4.2016 2:00;7.5
5.4.2016 2:00;5.4.2016 3:00;7.8
5.4.2016 3:00;5.4.2016 4:00;8.7
5.4.2016 4:00;5.4.2016 5:00;7.9
5.4.2016 5:00;5.4.2016 6:00;7.8
5.4.2016 6:00;5.4.2016 7:00;7.7
5.4.2016 7:00;5.4.2016 8:00;8.3
5.4.2016 8:00;5.4.2016 9:00;7.9
5.4.2016 9:00;5.4.2016 10:00;7
5.4.2016 10:00;5.4.2016 11:00;6.5
5.4.2016 11:00;5.4.2016 12:00;6.6
5.4.2016 12:00;5.4.2016 13:00;6.2
5.4.2016 13:00;5.4.2016 14:00;6.2
5.4.2016 14:00;5.4.2016 15:00;8.3
5.4.2016 15:00;5.4.2016 16:00;7
5.4.2016 16:00;5.4.2016 17:00;7.5
5.4.2016 17:00;5.4.2016 18:00;5.4
5.4.2016 18:00;5.4.2016 19:00;5.3
5.4.2016 19:00;5.4.2016 20:00;8.9
5.4.2016 20:00;5.4.2016 21:00;10.3
5.4.2016 21:00;5.4.2016 22:00;12.2
5.4.2016 22:00;5.4.2016 23:00;5
5.4.2016 23:00;5.5.2016 0:00;4.4
5.5.2016 0:00;5.5.2016 1:00;4.4
5.5.2016 1:00;5.5.2016 2:00;4.5
5.5.2016 2:00;5.5.2016 3:00;6
5.5.2016 3:00;5.5.2016 4:00;5.7
5.5.2016 4:00;5.5.2016 5:00;6.8
5.5.2016 5:00;5.5.2016 6:00;6.4
5.5.2016 6:00;5.5.2016 7:00;6
5.5.2016 7:00;5.5.2016 8:00;8.2
5.5.2016 8:00;5.5.2016 9:00;7.9
5.5.2016 9:00;5.5.2016 10:00;7.7
5.5.2016 10:00;5.5.2016 11:00;8.9
5.5.2016 11:00;5.5.2016 12:00;10.2
5.5.2016 12:00;5.5.2016 13:00;11.1
5.5.2016 13:00;5.5.2016 14:00;11.1
5.5.2016 14:00;5.5.2016 15:00;10.2
5.5.2016 15:00;5.5.2016 16:00;11.3
5.5.2016 16:00;5.5.2016 17:00;12.4
5.5.2016 17:00;5.5.2016 18:00;12.6
5.5.2016 18:00;5.5.2016 19:00;10.3
5.5.2016 19:00;5.5.2016 20:00;8.3
5.5.2016 20:00;5.5.2016 21:00;7.4
5.5.2016 21:00;5.5.2016 22:00;7.1
5.5.2016 22:00;5.5.2016 23:00;7.4
5.5.2016 23:00;5.6.2016 0:00;7.8
5.6.2016 0:00;5.6.2016 1:00;7.6
5.6.2016 1:00;5.6.2016 2:00;7.2
5.6.2016 2:00;5.6.2016 3:00;7.7
5.6.2016 3:00;5.6.2016 4:00;7.8
5.6.2016 4:00;5.6.2016 5:00;8.1
5.6.2016 5:00;5.6.2016 6:00;8.3
5.6.2016 6:00;5.6.2016 7:00;8.3
5.6.2016 7:00;5.6.2016 8:00;8.3
5.6.2016 8:00;5.6.2016 9:00;7.6
5.6.2016 9:00;5.6.2016 10:00;7.5
5.6.2016 10:00;5.6.2016 11:00;7.8
5.6.2016 11:00;5.6.2016 12:00;6.1
5.6.2016 12:00;5.6.2016 13:00;5.5
5.6.2016 13:00;5.6.2016 14:00;6.7
5.6.2016 14:00;5.6.2016 15:00;5.6
5.6.2016 15:00;5.6.2016 16:00;5.7
5.6.2016 16:00;5.6.2016 17:00;6.3
5.6.2016 17:00;5.6.2016 18:00;7.3
5.6.2016 18:00;5.6.2016 19:00;7.3
5.6.2016 19:00;5.6.2016 20:00;8.6
5.6.2016 20:00;5.6.2016 21:00;10.9
5.6.2016 21:00;5.6.2016 22:00;8.9
5.6.2016 22:00;5.6.2016 23:00;9.5
5.6.2016 23:00;5.7.2016 0:00;11.7
5.7.2016 0:00;5.7.2016 1:00;13.7
5.7.2016 1:00;5.7.2016 2:00;6.4
5.7.2016 2:00;5.7.2016 3:00;6.8
5.7.2016 3:00;5.7.2016 4:00;7.6
5.7.2016 4:00;5.7.2016 5:00;11.8
5.7.2016 5:00;5.7.2016 6:00;11.4
5.7.2016 6:00;5.7.2016 7:00;8.3
5.7.2016 7:00;5.7.2016 8:00;9.1
5.7.2016 8:00;5.7.2016 9:00;6.7
5.7.2016 9:00;5.7.2016 10:00;8.9
5.7.2016 10:00;5.7.2016 11:00;10.5
5.7.2016 11:00;5.7.2016 12:00;9.6
5.7.2016 12:00;5.7.2016 13:00;14.1
5.7.2016 13:00;5.7.2016 14:00;11
5.7.2016 14:00;5.7.2016 15:00;9.4
5.7.2016 15:00;5.7.2016 16:00;8.9
5.7.2016 16:00;5.7.2016 17:00;9
5.7.2016 17:00;5.7.2016 18:00;9
5.7.2016 18:00;5.7.2016 19:00;10.2
5.7.2016 19:00;5.7.2016 20:00;10.6
5.7.2016 20:00;5.7.2016 21:00;10.4
5.7.2016 21:00;5.7.2016 22:00;15.7
5.7.2016 22:00;5.7.2016 23:00;17.2
5.7.2016 23:00;5.8.2016 0:00;7.2
5.8.2016 0:00;5.8.2016 1:00;10.7
5.8.2016 1:00;5.8.2016 2:00;10.6
5.8.2016 2:00;5.8.2016 3:00;11
5.8.2016 3:00;5.8.2016 4:00;10.4
5.8.2016 4:00;5.8.2016 5:00;11.3
5.8.2016 5:00;5.8.2016 6:00;11
5.8.2016 6:00;5.8.2016 7:00;11
5.8.2016 7:00;5.8.2016 8:00;11.7
5.8.2016 8:00;5.8.2016 9:00;11.2
5.8.2016 9:00;5.8.2016 10:00;11.4
5.8.2016 10:00;5.8.2016 11:00;10.9
5.8.2016 11:00;5.8.2016 12:00;10.1
5.8.2016 12:00;5.8.2016 13:00;10.6
5.8.2016 13:00;5.8.2016 14:00;11.4
5.8.2016 14:00;5.8.2016 15:00;11.2
5.8.2016 15:00;5.8.2016 16:00;11.5
5.8.2016 16:00;5.8.2016 17:00;11.7
5.8.2016 17:00;5.8.2016 18:00;12.2
5.8.2016 18:00;5.8.2016 19:00;23.2
5.8.2016 19:00;5.8.2016 20:00;22.6
5.8.2016 20:00;5.8.2016 21:00;18
5.8.2016 21:00;5.8.2016 22:00;15.7
5.8.2016 22:00;5.8.2016 23:00;15.9
5.8.2016 23:00;5.9.2016 0:00;16.7
5.9.2016 0:00;5.9.2016 1:00;15.2
5.9.2016 1:00;5.9.2016 2:00;16.4
5.9.2016 2:00;5.9.2016 3:00;16.8
5.9.2016 3:00;5.9.2016 4:00;19.2
5.9.2016 4:00;5.9.2016 5:00;23
5.9.2016 5:00;5.9.2016 6:00;20.6
5.9.2016 6:00;5.9.2016 7:00;21.5
5.9.2016 7:00;5.9.2016 8:00;21.5
5.9.2016 8:00;5.9.2016 9:00;25.9
5.9.2016 9:00;5.9.2016 10:00;22
5.9.2016 10:00;5.9.2016 11:00;13.4
5.9.2016 11:00;5.9.2016 12:00;8.5
5.9.2016 12:00;5.9.2016 13:00;9.7
5.9.2016 13:00;5.9.2016 14:00;8.3
5.9.2016 14:00;5.9.2016 15:00;8.9
5.9.2016 15:00;5.9.2016 16:00;8.4
5.9.2016 16:00;5.9.2016 17:00;9.2
5.9.2016 17:00;5.9.2016 18:00;14.5
5.9.2016 18:00;5.9.2016 19:00;11.6
5.9.2016 19:00;5.9.2016 20:00;12.8
5.9.2016 20:00;5.9.2016 21:00;14.2
5.9.2016 21:00;5.9.2016 22:00;14.1
5.9.2016 22:00;5.9.2016 23:00;14
5.9.2016 23:00;5.10.2016 0:00;11.6
5.10.2016 0:00;5.10.2016 1:00;13.6
5.10.2016 1:00;5.10.2016 2:00;13.9
5.10.2016 2:00;5.10.2016 3:00;12.5
5.10.2016 3:00;5.10.2016 4:00;13.4
5.10.2016 4:00;5.10.2016 5:00;10.7
5.10.2016 5:00;5.10.2016 6:00;13.4
5.10.2016 6:00;5.10.2016 7:00;11.3
5.10.2016 7:00;5.10.2016 8:00;16.7
5.10.2016 8:00;5.10.2016 9:00;20.6
5.10.2016 9:00;5.10.2016 10:00;17
5.10.2016 10:00;5.10.2016 11:00;9.6
5.10.2016 11:00;5.10.2016 12:00;11.2
5.10.2016 12:00;5.10.2016 13:00;14.9
5.10.2016 13:00;5.10.2016 14:00;8.1
5.10.2016 14:00;5.10.2016 15:00;9.7
5.10.2016 15:00;5.10.2016 16:00;8.6
5.10.2016 16:00;5.10.2016 17:00;15.6
5.10.2016 17:00;5.10.2016 18:00;13.2
5.10.2016 18:00;5.10.2016 19:00;11.9
5.10.2016 19:00;5.10.2016 20:00;14.9
5.10.2016 20:00;5.10.2016 21:00;14.8
5.10.2016 21:00;5.10.2016 22:00;12.8
5.10.2016 22:00;5.10.2016 23:00;14.8
5.10.2016 23:00;5.11.2016 0:00;13.3
5.11.2016 0:00;5.11.2016 1:00;11.4
5.11.2016 1:00;5.11.2016 2:00;11.2
5.11.2016 2:00;5.11.2016 3:00;13.3
5.11.2016 3:00;5.11.2016 4:00;12.7
5.11.2016 4:00;5.11.2016 5:00;13.3
5.11.2016 5:00;5.11.2016 6:00;13.8
5.11.2016 6:00;5.11.2016 7:00;17.9
5.11.2016 7:00;5.11.2016 8:00;19.1
5.11.2016 8:00;5.11.2016 9:00;21.3
5.11.2016 9:00;5.11.2016 10:00;14.3
5.11.2016 10:00;5.11.2016 11:00;16.1
5.11.2016 11:00;5.11.2016 12:00;5.5
5.11.2016 12:00;5.11.2016 13:00;9.3
5.11.2016 13:00;5.11.2016 14:00;9.1
5.11.2016 14:00;5.11.2016 15:00;13.2
5.11.2016 15:00;5.11.2016 16:00;7.7
5.11.2016 16:00;5.11.2016 17:00;6.6
5.11.2016 17:00;5.11.2016 18:00;8
5.11.2016 18:00;5.11.2016 19:00;6.7
5.11.2016 19:00;5.11.2016 20:00;14.3
5.11.2016 20:00;5.11.2016 21:00;11.7
5.11.2016 21:00;5.11.2016 22:00;13.8
5.11.2016 22:00;5.11.2016 23:00;13.6
5.11.2016 23:00;5.12.2016 0:00;13.7
5.12.2016 0:00;5.12.2016 1:00;13.3
5.12.2016 1:00;5.12.2016 2:00;11.8
5.12.2016 2:00;5.12.2016 3:00;11.8
5.12.2016 3:00;5.12.2016 4:00;11.7
5.12.2016 4:00;5.12.2016 5:00;14.8
5.12.2016 5:00;5.12.2016 6:00;14.9
5.12.2016 6:00;5.12.2016 7:00;15.4
5.12.2016 7:00;5.12.2016 8:00;21.3
5.12.2016 8:00;5.12.2016 9:00;17
5.12.2016 9:00;5.12.2016 10:00;11.7
5.12.2016 10:00;5.12.2016 11:00;13.2
5.12.2016 11:00;5.12.2016 12:00;7.9
5.12.2016 12:00;5.12.2016 13:00;2.8
5.12.2016 13:00;5.12.2016 14:00;3.1
5.12.2016 14:00;5.12.2016 15:00;7.9
5.12.2016 15:00;5.12.2016 16:00;3.2
5.12.2016 16:00;5.12.2016 17:00;3.5
5.12.2016 17:00;5.12.2016 18:00;1.9
5.12.2016 18:00;5.12.2016 19:00;1.7
5.12.2016 19:00;5.12.2016 20:00;3
5.12.2016 20:00;5.12.2016 21:00;3.6
5.12.2016 21:00;5.12.2016 22:00;3.6
5.12.2016 22:00;5.12.2016 23:00;3.6
5.12.2016 23:00;5.13.2016 0:00;3.5
5.13.2016 0:00;5.13.2016 1:00;3.6
5.13.2016 1:00;5.13.2016 2:00;2
5.13.2016 2:00;5.13.2016 3:00;2.1
5.13.2016 3:00;5.13.2016 4:00;2.1
5.13.2016 4:00;5.13.2016 5:00;1.4
5.13.2016 5:00;5.13.2016 6:00;5
5.13.2016 6:00;5.13.2016 7:00;3.6
5.13.2016 7:00;5.13.2016 8:00;5
5.13.2016 8:00;5.13.2016 9:00;3.9
5.13.2016 9:00;5.13.2016 10:00;5.2
5.13.2016 10:00;5.13.2016 11:00;7.3
5.13.2016 11:00;5.13.2016 12:00;7.9
5.13.2016 12:00;5.13.2016 13:00;7.7
5.13.2016 13:00;5.13.2016 14:00;7.2
5.13.2016 14:00;5.13.2016 15:00;9.7
5.13.2016 15:00;5.13.2016 16:00;6.8
5.13.2016 16:00;5.13.2016 17:00;6.6
5.13.2016 17:00;5.13.2016 18:00;6.5
5.13.2016 18:00;5.13.2016 19:00;4.4
5.13.2016 19:00;5.13.2016 20:00;5.1
5.13.2016 20:00;5.13.2016 21:00;5.1
5.13.2016 21:00;5.13.2016 22:00;5.5
5.13.2016 22:00;5.13.2016 23:00;5.3
5.13.2016 23:00;5.14.2016 0:00;4.8
5.14.2016 0:00;5.14.2016 1:00;3.9
5.14.2016 1:00;5.14.2016 2:00;5
5.14.2016 2:00;5.14.2016 3:00;2.6
5.14.2016 3:00;5.14.2016 4:00;2.7
5.14.2016 4:00;5.14.2016 5:00;3.5
5.14.2016 5:00;5.14.2016 6:00;3.5
5.14.2016 6:00;5.14.2016 7:00;4.3
5.14.2016 7:00;5.14.2016 8:00;3.2
5.14.2016 8:00;5.14.2016 9:00;4.7
5.14.2016 9:00;5.14.2016 10:00;3.9
5.14.2016 10:00;5.14.2016 11:00;4.4
5.14.2016 11:00;5.14.2016 12:00;6.6
5.14.2016 12:00;5.14.2016 13:00;5.7
5.14.2016 13:00;5.14.2016 14:00;5.8
5.14.2016 14:00;5.14.2016 15:00;6.2
5.14.2016 15:00;5.14.2016 16:00;6.2
5.14.2016 16:00;5.14.2016 17:00;5.1
5.14.2016 17:00;5.14.2016 18:00;6.4
5.14.2016 18:00;5.14.2016 19:00;7.6
5.14.2016 19:00;5.14.2016 20:00;7.4
5.14.2016 20:00;5.14.2016 21:00;6.3
5.14.2016 21:00;5.14.2016 22:00;5.8
5.14.2016 22:00;5.14.2016 23:00;5.4
5.14.2016 23:00;5.15.2016 0:00;5.8
5.15.2016 0:00;5.15.2016 1:00;4.3
5.15.2016 1:00;5.15.2016 2:00;6.4
5.15.2016 2:00;5.15.2016 3:00;4.5
5.15.2016 3:00;5.15.2016 4:00;4.7
5.15.2016 4:00;5.15.2016 5:00;3.1
5.15.2016 5:00;5.15.2016 6:00;3.4
5.15.2016 6:00;5.15.2016 7:00;2.3
5.15.2016 7:00;5.15.2016 8:00;3.6
5.15.2016 8:00;5.15.2016 9:00;3.3
5.15.2016 9:00;5.15.2016 10:00;4.7
5.15.2016 10:00;5.15.2016 11:00;2.3
5.15.2016 11:00;5.15.2016 12:00;3.7
5.15.2016 12:00;5.15.2016 13:00;6.6
5.15.2016 13:00;5.15.2016 14:00;8.5
5.15.2016 14:00;5.15.2016 15:00;5.8
5.15.2016 15:00;5.15.2016 16:00;5.1
5.15.2016 16:00;5.15.2016 17:00;6.6
5.15.2016 17:00;5.15.2016 18:00;5.6
5.15.2016 18:00;5.15.2016 19:00;5.5
5.15.2016 19:00;5.15.2016 20:00;7
5.15.2016 20:00;5.15.2016 21:00;6.8
5.15.2016 21:00;5.15.2016 22:00;5
5.15.2016 22:00;5.15.2016 23:00;4.8
5.15.2016 23:00;5.16.2016 0:00;5.5
5.16.2016 0:00;5.16.2016 1:00;5.4
5.16.2016 1:00;5.16.2016 2:00;4
5.16.2016 2:00;5.16.2016 3:00;5.6
5.16.2016 3:00;5.16.2016 4:00;4.8
5.16.2016 4:00;5.16.2016 5:00;5
5.16.2016 5:00;5.16.2016 6:00;4.5
5.16.2016 6:00;5.16.2016 7:00;4.3
5.16.2016 7:00;5.16.2016 8:00;4.1
5.16.2016 8:00;5.16.2016 9:00;4.2
5.16.2016 9:00;5.16.2016 10:00;4.1
5.16.2016 10:00;5.16.2016 11:00;3.5
5.16.2016 11:00;5.16.2016 12:00;4.5
5.16.2016 12:00;5.16.2016 13:00;4.4
5.16.2016 13:00;5.16.2016 14:00;4.8
5.16.2016 14:00;5.16.2016 15:00;2.8
5.16.2016 15:00;5.16.2016 16:00;2.9
