Fra-tid;Til-tid;Rådhuset | PM2.5 | µg.m³
5.16.2016 16:00;5.16.2016 17:00;4.1
5.16.2016 17:00;5.16.2016 18:00;5.6
5.16.2016 18:00;5.16.2016 19:00;3.3
5.16.2016 19:00;5.16.2016 20:00;4.7
5.16.2016 20:00;5.16.2016 21:00;4.7
5.16.2016 21:00;5.16.2016 22:00;2.9
5.16.2016 22:00;5.16.2016 23:00;3.3
5.16.2016 23:00;5.17.2016 0:00;3.2
5.17.2016 0:00;5.17.2016 1:00;4.1
5.17.2016 1:00;5.17.2016 2:00;2.4
5.17.2016 2:00;5.17.2016 3:00;2.9
5.17.2016 3:00;5.17.2016 4:00;4.5
5.17.2016 4:00;5.17.2016 5:00;3.1
5.17.2016 5:00;5.17.2016 6:00;2.7
5.17.2016 6:00;5.17.2016 7:00;2.8
5.17.2016 7:00;5.17.2016 8:00;4.5
5.17.2016 8:00;5.17.2016 9:00;2.3
5.17.2016 9:00;5.17.2016 10:00;5.4
5.17.2016 10:00;5.17.2016 11:00;2
5.17.2016 11:00;5.17.2016 12:00;4.8
5.17.2016 12:00;5.17.2016 13:00;7.2
5.17.2016 13:00;5.17.2016 14:00;4.1
5.17.2016 14:00;5.17.2016 15:00;3.9
5.17.2016 15:00;5.17.2016 16:00;4.9
5.17.2016 16:00;5.17.2016 17:00;5.3
5.17.2016 17:00;5.17.2016 18:00;4.3
5.17.2016 18:00;5.17.2016 19:00;4
5.17.2016 19:00;5.17.2016 20:00;5.3
5.17.2016 20:00;5.17.2016 21:00;6.1
5.17.2016 21:00;5.17.2016 22:00;9.8
5.17.2016 22:00;5.17.2016 23:00;5.7
5.17.2016 23:00;5.18.2016 0:00;4.6
5.18.2016 0:00;5.18.2016 1:00;5.4
5.18.2016 1:00;5.18.2016 2:00;5.1
5.18.2016 2:00;5.18.2016 3:00;5.5
5.18.2016 3:00;5.18.2016 4:00;5.8
5.18.2016 4:00;5.18.2016 5:00;6
5.18.2016 5:00;5.18.2016 6:00;6.6
5.18.2016 6:00;5.18.2016 7:00;7.7
5.18.2016 7:00;5.18.2016 8:00;6.2
5.18.2016 8:00;5.18.2016 9:00;4.6
5.18.2016 9:00;5.18.2016 10:00;6.7
5.18.2016 10:00;5.18.2016 11:00;10.9
5.18.2016 11:00;5.18.2016 12:00;9.1
5.18.2016 12:00;5.18.2016 13:00;8.3
5.18.2016 13:00;5.18.2016 14:00;7.6
5.18.2016 14:00;5.18.2016 15:00;6.2
5.18.2016 15:00;5.18.2016 16:00;8.5
5.18.2016 16:00;5.18.2016 17:00;3.7
5.18.2016 17:00;5.18.2016 18:00;4.7
5.18.2016 18:00;5.18.2016 19:00;3.9
5.18.2016 19:00;5.18.2016 20:00;6
5.18.2016 20:00;5.18.2016 21:00;6.4
5.18.2016 21:00;5.18.2016 22:00;5.6
5.18.2016 22:00;5.18.2016 23:00;6.2
5.18.2016 23:00;5.19.2016 0:00;4.6
5.19.2016 0:00;5.19.2016 1:00;4.8
5.19.2016 1:00;5.19.2016 2:00;4.8
5.19.2016 2:00;5.19.2016 3:00;5.2
5.19.2016 3:00;5.19.2016 4:00;5.2
5.19.2016 4:00;5.19.2016 5:00;5.1
5.19.2016 5:00;5.19.2016 6:00;5.4
5.19.2016 6:00;5.19.2016 7:00;6.3
5.19.2016 7:00;5.19.2016 8:00;6.8
5.19.2016 8:00;5.19.2016 9:00;4.3
5.19.2016 9:00;5.19.2016 10:00;6.6
5.19.2016 10:00;5.19.2016 11:00;6.3
5.19.2016 11:00;5.19.2016 12:00;6.6
5.19.2016 12:00;5.19.2016 13:00;5.7
5.19.2016 13:00;5.19.2016 14:00;3.2
5.19.2016 14:00;5.19.2016 15:00;0
5.19.2016 15:00;5.19.2016 16:00;5.1
5.19.2016 16:00;5.19.2016 17:00;8.6
5.19.2016 17:00;5.19.2016 18:00;5.1
5.19.2016 18:00;5.19.2016 19:00;1.6
5.19.2016 19:00;5.19.2016 20:00;4.7
5.19.2016 20:00;5.19.2016 21:00;5.9
5.19.2016 21:00;5.19.2016 22:00;9
5.19.2016 22:00;5.19.2016 23:00;4.8
5.19.2016 23:00;5.20.2016 0:00;4.1
5.20.2016 0:00;5.20.2016 1:00;4.2
5.20.2016 1:00;5.20.2016 2:00;5.9
5.20.2016 2:00;5.20.2016 3:00;6.3
5.20.2016 3:00;5.20.2016 4:00;6.1
5.20.2016 4:00;5.20.2016 5:00;3.6
5.20.2016 5:00;5.20.2016 6:00;4
5.20.2016 6:00;5.20.2016 7:00;5.4
5.20.2016 7:00;5.20.2016 8:00;6
5.20.2016 8:00;5.20.2016 9:00;5.4
5.20.2016 9:00;5.20.2016 10:00;3.3
5.20.2016 10:00;5.20.2016 11:00;4.3
5.20.2016 11:00;5.20.2016 12:00;6.3
5.20.2016 12:00;5.20.2016 13:00;6.1
5.20.2016 13:00;5.20.2016 14:00;6.7
5.20.2016 14:00;5.20.2016 15:00;8.4
5.20.2016 15:00;5.20.2016 16:00;8.5
5.20.2016 16:00;5.20.2016 17:00;8
5.20.2016 17:00;5.20.2016 18:00;7.7
5.20.2016 18:00;5.20.2016 19:00;9.3
5.20.2016 19:00;5.20.2016 20:00;8.5
5.20.2016 20:00;5.20.2016 21:00;9.3
5.20.2016 21:00;5.20.2016 22:00;7.1
5.20.2016 22:00;5.20.2016 23:00;7.6
5.20.2016 23:00;5.21.2016 0:00;5.6
5.21.2016 0:00;5.21.2016 1:00;5.6
5.21.2016 1:00;5.21.2016 2:00;5.1
5.21.2016 2:00;5.21.2016 3:00;5.2
5.21.2016 3:00;5.21.2016 4:00;4.8
5.21.2016 4:00;5.21.2016 5:00;6.2
5.21.2016 5:00;5.21.2016 6:00;5
5.21.2016 6:00;5.21.2016 7:00;6.5
5.21.2016 7:00;5.21.2016 8:00;6.7
5.21.2016 8:00;5.21.2016 9:00;3.9
5.21.2016 9:00;5.21.2016 10:00;3
5.21.2016 10:00;5.21.2016 11:00;1.9
5.21.2016 11:00;5.21.2016 12:00;2.7
5.21.2016 12:00;5.21.2016 13:00;3.6
5.21.2016 13:00;5.21.2016 14:00;3.5
5.21.2016 14:00;5.21.2016 15:00;4.4
5.21.2016 15:00;5.21.2016 16:00;4.4
5.21.2016 16:00;5.21.2016 17:00;3.4
5.21.2016 17:00;5.21.2016 18:00;4.1
5.21.2016 18:00;5.21.2016 19:00;3.3
5.21.2016 19:00;5.21.2016 20:00;4.4
5.21.2016 20:00;5.21.2016 21:00;5.5
5.21.2016 21:00;5.21.2016 22:00;4.6
5.21.2016 22:00;5.21.2016 23:00;4.3
5.21.2016 23:00;5.22.2016 0:00;4.3
5.22.2016 0:00;5.22.2016 1:00;2.5
5.22.2016 1:00;5.22.2016 2:00;2.9
5.22.2016 2:00;5.22.2016 3:00;3.5
5.22.2016 3:00;5.22.2016 4:00;2.5
5.22.2016 4:00;5.22.2016 5:00;5.6
5.22.2016 5:00;5.22.2016 6:00;6.6
5.22.2016 6:00;5.22.2016 7:00;4.9
5.22.2016 7:00;5.22.2016 8:00;4.7
5.22.2016 8:00;5.22.2016 9:00;4.7
5.22.2016 9:00;5.22.2016 10:00;6.1
5.22.2016 10:00;5.22.2016 11:00;5
5.22.2016 11:00;5.22.2016 12:00;4.7
5.22.2016 12:00;5.22.2016 13:00;3.9
5.22.2016 13:00;5.22.2016 14:00;6
5.22.2016 14:00;5.22.2016 15:00;5.5
5.22.2016 15:00;5.22.2016 16:00;6.8
5.22.2016 16:00;5.22.2016 17:00;7.7
5.22.2016 17:00;5.22.2016 18:00;8.3
5.22.2016 18:00;5.22.2016 19:00;6.7
5.22.2016 19:00;5.22.2016 20:00;6.1
5.22.2016 20:00;5.22.2016 21:00;6.1
5.22.2016 21:00;5.22.2016 22:00;6.7
5.22.2016 22:00;5.22.2016 23:00;6.6
5.22.2016 23:00;5.23.2016 0:00;5.5
5.23.2016 0:00;5.23.2016 1:00;6.6
5.23.2016 1:00;5.23.2016 2:00;7.7
5.23.2016 2:00;5.23.2016 3:00;6.2
5.23.2016 3:00;5.23.2016 4:00;8.1
5.23.2016 4:00;5.23.2016 5:00;6.6
5.23.2016 5:00;5.23.2016 6:00;4.7
5.23.2016 6:00;5.23.2016 7:00;7.5
5.23.2016 7:00;5.23.2016 8:00;10.2
5.23.2016 8:00;5.23.2016 9:00;8.2
5.23.2016 9:00;5.23.2016 10:00;7.2
5.23.2016 10:00;5.23.2016 11:00;9.5
5.23.2016 11:00;5.23.2016 12:00;10.7
5.23.2016 12:00;5.23.2016 13:00;9.1
5.23.2016 13:00;5.23.2016 14:00;8.4
5.23.2016 14:00;5.23.2016 15:00;8.3
5.23.2016 15:00;5.23.2016 16:00;8.8
5.23.2016 16:00;5.23.2016 17:00;9.4
5.23.2016 17:00;5.23.2016 18:00;7.9
5.23.2016 18:00;5.23.2016 19:00;5.8
5.23.2016 19:00;5.23.2016 20:00;4.7
5.23.2016 20:00;5.23.2016 21:00;4.2
5.23.2016 21:00;5.23.2016 22:00;5.1
5.23.2016 22:00;5.23.2016 23:00;4.3
5.23.2016 23:00;5.24.2016 0:00;4.3
5.24.2016 0:00;5.24.2016 1:00;3.9
5.24.2016 1:00;5.24.2016 2:00;4.3
5.24.2016 2:00;5.24.2016 3:00;4.4
5.24.2016 3:00;5.24.2016 4:00;4.1
5.24.2016 4:00;5.24.2016 5:00;3.3
5.24.2016 5:00;5.24.2016 6:00;4
5.24.2016 6:00;5.24.2016 7:00;4.7
5.24.2016 7:00;5.24.2016 8:00;4.5
5.24.2016 8:00;5.24.2016 9:00;3.9
5.24.2016 9:00;5.24.2016 10:00;7.2
5.24.2016 10:00;5.24.2016 11:00;4.7
5.24.2016 11:00;5.24.2016 12:00;7.8
5.24.2016 12:00;5.24.2016 13:00;7.2
5.24.2016 13:00;5.24.2016 14:00;6.8
5.24.2016 14:00;5.24.2016 15:00;5.9
5.24.2016 15:00;5.24.2016 16:00;7.2
5.24.2016 16:00;5.24.2016 17:00;7
5.24.2016 17:00;5.24.2016 18:00;6.7
5.24.2016 18:00;5.24.2016 19:00;6.6
5.24.2016 19:00;5.24.2016 20:00;5.7
5.24.2016 20:00;5.24.2016 21:00;5.7
5.24.2016 21:00;5.24.2016 22:00;5
5.24.2016 22:00;5.24.2016 23:00;4.8
5.24.2016 23:00;5.25.2016 0:00;5
5.25.2016 0:00;5.25.2016 1:00;5.2
5.25.2016 1:00;5.25.2016 2:00;4.3
5.25.2016 2:00;5.25.2016 3:00;7.6
5.25.2016 3:00;5.25.2016 4:00;8.5
5.25.2016 4:00;5.25.2016 5:00;7.7
5.25.2016 5:00;5.25.2016 6:00;5.5
5.25.2016 6:00;5.25.2016 7:00;5.6
5.25.2016 7:00;5.25.2016 8:00;4.9
5.25.2016 8:00;5.25.2016 9:00;2.8
5.25.2016 9:00;5.25.2016 10:00;2.1
5.25.2016 10:00;5.25.2016 11:00;1.9
5.25.2016 11:00;5.25.2016 12:00;3.3
5.25.2016 12:00;5.25.2016 13:00;1.4
5.25.2016 13:00;5.25.2016 14:00;1.8
5.25.2016 14:00;5.25.2016 15:00;3.2
5.25.2016 15:00;5.25.2016 16:00;5.8
5.25.2016 16:00;5.25.2016 17:00;2.9
5.25.2016 17:00;5.25.2016 18:00;1.3
5.25.2016 18:00;5.25.2016 19:00;3.6
5.25.2016 19:00;5.25.2016 20:00;3
5.25.2016 20:00;5.25.2016 21:00;3.6
5.25.2016 21:00;5.25.2016 22:00;7.5
5.25.2016 22:00;5.25.2016 23:00;7.1
5.25.2016 23:00;5.26.2016 0:00;4.8
5.26.2016 0:00;5.26.2016 1:00;6.5
5.26.2016 1:00;5.26.2016 2:00;6.3
5.26.2016 2:00;5.26.2016 3:00;5
5.26.2016 3:00;5.26.2016 4:00;7.9
5.26.2016 4:00;5.26.2016 5:00;3.6
5.26.2016 5:00;5.26.2016 6:00;3.5
5.26.2016 6:00;5.26.2016 7:00;7.4
5.26.2016 7:00;5.26.2016 8:00;8.7
5.26.2016 8:00;5.26.2016 9:00;9.8
5.26.2016 9:00;5.26.2016 10:00;7.5
5.26.2016 10:00;5.26.2016 11:00;5
5.26.2016 11:00;5.26.2016 12:00;6
5.26.2016 12:00;5.26.2016 13:00;6.1
5.26.2016 13:00;5.26.2016 14:00;3.7
5.26.2016 14:00;5.26.2016 15:00;4.5
5.26.2016 15:00;5.26.2016 16:00;7.7
5.26.2016 16:00;5.26.2016 17:00;12.2
5.26.2016 17:00;5.26.2016 18:00;14.1
5.26.2016 18:00;5.26.2016 19:00;12.8
5.26.2016 19:00;5.26.2016 20:00;13.2
5.26.2016 20:00;5.26.2016 21:00;15.1
5.26.2016 21:00;5.26.2016 22:00;13.2
5.26.2016 22:00;5.26.2016 23:00;13.7
5.26.2016 23:00;5.27.2016 0:00;13.3
5.27.2016 0:00;5.27.2016 1:00;13.6
5.27.2016 1:00;5.27.2016 2:00;12.3
5.27.2016 2:00;5.27.2016 3:00;12.4
5.27.2016 3:00;5.27.2016 4:00;10.9
5.27.2016 4:00;5.27.2016 5:00;12.9
5.27.2016 5:00;5.27.2016 6:00;11.2
5.27.2016 6:00;5.27.2016 7:00;14.4
5.27.2016 7:00;5.27.2016 8:00;15.1
5.27.2016 8:00;5.27.2016 9:00;14.8
5.27.2016 9:00;5.27.2016 10:00;11.6
5.27.2016 10:00;5.27.2016 11:00;6.9
5.27.2016 11:00;5.27.2016 12:00;8.7
5.27.2016 12:00;5.27.2016 13:00;9.1
5.27.2016 13:00;5.27.2016 14:00;6.6
5.27.2016 14:00;5.27.2016 15:00;7.4
5.27.2016 15:00;5.27.2016 16:00;5.4
5.27.2016 16:00;5.27.2016 17:00;7.4
5.27.2016 17:00;5.27.2016 18:00;8.2
5.27.2016 18:00;5.27.2016 19:00;11.8
5.27.2016 19:00;5.27.2016 20:00;10.5
5.27.2016 20:00;5.27.2016 21:00;9.8
5.27.2016 21:00;5.27.2016 22:00;7.5
5.27.2016 22:00;5.27.2016 23:00;6.7
5.27.2016 23:00;5.28.2016 0:00;7.1
5.28.2016 0:00;5.28.2016 1:00;6.3
5.28.2016 1:00;5.28.2016 2:00;6.3
5.28.2016 2:00;5.28.2016 3:00;6.4
5.28.2016 3:00;5.28.2016 4:00;6.2
5.28.2016 4:00;5.28.2016 5:00;6.7
5.28.2016 5:00;5.28.2016 6:00;7.3
5.28.2016 6:00;5.28.2016 7:00;10.1
5.28.2016 7:00;5.28.2016 8:00;10.2
5.28.2016 8:00;5.28.2016 9:00;9.9
5.28.2016 9:00;5.28.2016 10:00;11.5
5.28.2016 10:00;5.28.2016 11:00;9.3
5.28.2016 11:00;5.28.2016 12:00;3.9
5.28.2016 12:00;5.28.2016 13:00;12.3
5.28.2016 13:00;5.28.2016 14:00;7.4
5.28.2016 14:00;5.28.2016 15:00;3
5.28.2016 15:00;5.28.2016 16:00;5.9
5.28.2016 16:00;5.28.2016 17:00;7.1
5.28.2016 17:00;5.28.2016 18:00;5.4
5.28.2016 18:00;5.28.2016 19:00;5
5.28.2016 19:00;5.28.2016 20:00;5.3
5.28.2016 20:00;5.28.2016 21:00;5.3
5.28.2016 21:00;5.28.2016 22:00;5.2
5.28.2016 22:00;5.28.2016 23:00;6.3
5.28.2016 23:00;5.29.2016 0:00;5.4
5.29.2016 0:00;5.29.2016 1:00;5.8
5.29.2016 1:00;5.29.2016 2:00;6.2
5.29.2016 2:00;5.29.2016 3:00;5.8
5.29.2016 3:00;5.29.2016 4:00;6.7
5.29.2016 4:00;5.29.2016 5:00;6.6
5.29.2016 5:00;5.29.2016 6:00;6.8
5.29.2016 6:00;5.29.2016 7:00;6.1
5.29.2016 7:00;5.29.2016 8:00;7.9
5.29.2016 8:00;5.29.2016 9:00;3.1
5.29.2016 9:00;5.29.2016 10:00;4.6
5.29.2016 10:00;5.29.2016 11:00;2.5
5.29.2016 11:00;5.29.2016 12:00;4.8
5.29.2016 12:00;5.29.2016 13:00;3.1
5.29.2016 13:00;5.29.2016 14:00;8.6
5.29.2016 14:00;5.29.2016 15:00;10.2
5.29.2016 15:00;5.29.2016 16:00;7.1
5.29.2016 16:00;5.29.2016 17:00;4
5.29.2016 17:00;5.29.2016 18:00;6.3
5.29.2016 18:00;5.29.2016 19:00;3.4
5.29.2016 19:00;5.29.2016 20:00;4.3
5.29.2016 20:00;5.29.2016 21:00;5.8
5.29.2016 21:00;5.29.2016 22:00;3
5.29.2016 22:00;5.29.2016 23:00;3.9
5.29.2016 23:00;5.30.2016 0:00;5
5.30.2016 0:00;5.30.2016 1:00;5.2
5.30.2016 1:00;5.30.2016 2:00;6.7
5.30.2016 2:00;5.30.2016 3:00;5.8
5.30.2016 3:00;5.30.2016 4:00;6.9
5.30.2016 4:00;5.30.2016 5:00;6.6
5.30.2016 5:00;5.30.2016 6:00;7
5.30.2016 6:00;5.30.2016 7:00;9.2
5.30.2016 7:00;5.30.2016 8:00;11.4
5.30.2016 8:00;5.30.2016 9:00;8.1
5.30.2016 9:00;5.30.2016 10:00;6
5.30.2016 10:00;5.30.2016 11:00;7.3
5.30.2016 11:00;5.30.2016 12:00;11
5.30.2016 12:00;5.30.2016 13:00;7.8
5.30.2016 13:00;5.30.2016 14:00;7.2
5.30.2016 14:00;5.30.2016 15:00;5.1
5.30.2016 15:00;5.30.2016 16:00;1.9
5.30.2016 16:00;5.30.2016 17:00;4.6
5.30.2016 17:00;5.30.2016 18:00;8.7
5.30.2016 18:00;5.30.2016 19:00;9.2
5.30.2016 19:00;5.30.2016 20:00;9
5.30.2016 20:00;5.30.2016 21:00;8.2
5.30.2016 21:00;5.30.2016 22:00;9.1
5.30.2016 22:00;5.30.2016 23:00;9.2
5.30.2016 23:00;5.31.2016 0:00;12.2
5.31.2016 0:00;5.31.2016 1:00;12.1
5.31.2016 1:00;5.31.2016 2:00;10.4
5.31.2016 2:00;5.31.2016 3:00;13
5.31.2016 3:00;5.31.2016 4:00;14
5.31.2016 4:00;5.31.2016 5:00;14
5.31.2016 5:00;5.31.2016 6:00;10.5
5.31.2016 6:00;5.31.2016 7:00;12.9
5.31.2016 7:00;5.31.2016 8:00;13
5.31.2016 8:00;5.31.2016 9:00;12.3
5.31.2016 9:00;5.31.2016 10:00;12.9
5.31.2016 10:00;5.31.2016 11:00;15.5
5.31.2016 11:00;5.31.2016 12:00;17.2
5.31.2016 12:00;5.31.2016 13:00;16
5.31.2016 13:00;5.31.2016 14:00;16.7
5.31.2016 14:00;5.31.2016 15:00;15.8
5.31.2016 15:00;5.31.2016 16:00;13.7
5.31.2016 16:00;5.31.2016 17:00;10.3
5.31.2016 17:00;5.31.2016 18:00;11.2
5.31.2016 18:00;5.31.2016 19:00;11
5.31.2016 19:00;5.31.2016 20:00;12.9
5.31.2016 20:00;5.31.2016 21:00;11.6
5.31.2016 21:00;5.31.2016 22:00;11.1
5.31.2016 22:00;5.31.2016 23:00;11.1
5.31.2016 23:00;6.1.2016 0:00;11.4