OBSERVASJONER - TIMEDATA;;;;;;;
50540;15.05.2016-11:00;0;5,3;307;12,4; ; 
50540;15.05.2016-12:00;0;5;307;12,4; ; 
50540;15.05.2016-13:00;0;5,1;309;14,2; ; 
50540;15.05.2016-14:00;0;6;311;14,1; ; 
50540;15.05.2016-15:00;0;6,8;313;13,3; ; 
50540;15.05.2016-16:00;0;5,1;313;13,5; ; 
50540;15.05.2016-17:00;0;5,5;313;12,1; ; 
50540;15.05.2016-18:00;0;6,1;314;10,5; ; 
50540;15.05.2016-19:00;0;5;310;9,3; ; 
50540;15.05.2016-20:00;0;4;307;8,6; ; 
50540;15.05.2016-21:00;0;3,8;308;7,6; ; 
50540;15.05.2016-22:00;0;3,2;307;7; ; 
50540;15.05.2016-23:00;0;1,9;314;6,1; ; 
50540;16.05.2016-00:00;0;3,3;332;5,7; ; 
50540;16.05.2016-01:00;0;2,5;339;5,3; ; 
50540;16.05.2016-02:00;0;1,9;315;5,1; ; 
50540;16.05.2016-03:00;0;3;324;5,3; ; 
50540;16.05.2016-04:00;0;3,4;342;6,2; ; 
50540;16.05.2016-05:00;0;3,8;337;6,4; ; 
50540;16.05.2016-06:00;0;3,8;339;6,7; ; 
50540;16.05.2016-07:00;0;2,8;339;7; ; 
50540;16.05.2016-08:00;0;2,3;355;7,3; ; 
50540;16.05.2016-09:00;0;2,3;297;8,7; ; 
50540;16.05.2016-10:00;0;2,7;300;9,8; ; 
50540;16.05.2016-11:00;0;3,3;288;10,7; ; 
50540;16.05.2016-12:00;0;4;302;11,5; ; 
50540;16.05.2016-13:00;0;5;306;12,6; ; 
50540;16.05.2016-14:00;0;5,2;301;12,8; ; 
50540;16.05.2016-15:00;0;5,2;283;11,9; ; 
50540;16.05.2016-16:00;0;4,7;301;11,9; ; 
50540;16.05.2016-17:00;0;4,5;302;11; ; 
50540;16.05.2016-18:00;0;2,9;287;10,3; ; 
50540;16.05.2016-19:00;0;3,6;296;9; ; 
50540;16.05.2016-20:00;0;2,8;293;8,3; ; 
50540;16.05.2016-21:00;0;3;307;7,6; ; 
50540;16.05.2016-22:00;0;1,5;287;6,9; ; 
50540;16.05.2016-23:00;0;1;62;7,1; ; 
50540;17.05.2016-00:00;0;1,7;293;7,6; ; 
50540;17.05.2016-01:00;0;2,1;235;7,4; ; 
50540;17.05.2016-02:00;0;1;213;7; ; 
50540;17.05.2016-03:00;0;2,3;149;7,1; ; 
50540;17.05.2016-04:00;0,4;1,5;311;6,6; ; 
50540;17.05.2016-05:00;0;0,4;291;6,5; ; 
50540;17.05.2016-06:00;0;1;277;6,8; ; 
50540;17.05.2016-07:00;0;1,6;270;7,2; ; 
50540;17.05.2016-08:00;0;2,3;340;8; ; 
50540;17.05.2016-09:00;0;1,5;289;9,7; ; 
50540;17.05.2016-10:00;0;2,9;307;8,4; ; 
50540;17.05.2016-11:00;0;1,9;246;9,4; ; 
50540;17.05.2016-12:00;0;2,2;315;10,4; ; 
50540;17.05.2016-13:00;0,1;2,2;315;9,9; ; 
50540;17.05.2016-14:00;0;2,3;294;9,8; ; 
50540;17.05.2016-15:00;0;2,2;312;9,5; ; 
50540;17.05.2016-16:00;0;4;309;8,7; ; 
50540;17.05.2016-17:00;0,1;4,3;327;8,3; ; 
50540;17.05.2016-18:00;0;3;336;8,1; ; 
50540;17.05.2016-19:00;0;1,3;330;8,3; ; 
50540;17.05.2016-20:00;0;2,2;295;7,7; ; 
50540;17.05.2016-21:00;0;2,7;302;7,5; ; 
50540;17.05.2016-22:00;0;2,8;315;6,8; ; 
50540;17.05.2016-23:00;0;1,5;355;6,8; ; 
50540;18.05.2016-00:00;0;1,6;320;6,4; ; 
50540;18.05.2016-01:00;0;1;215;6,4; ; 
50540;18.05.2016-02:00;0;0,8;220;6,2; ; 
50540;18.05.2016-03:00;0;1;196;6,4; ; 
50540;18.05.2016-04:00;0;0,7;173;6,2; ; 
50540;18.05.2016-05:00;0;0,5;222;5,9; ; 
50540;18.05.2016-06:00;0,3;1,3;273;6,3; ; 
50540;18.05.2016-07:00;0,3;1,7;300;6,4; ; 
50540;18.05.2016-08:00;0,4;1,4;306;6,9; ; 
50540;18.05.2016-09:00;0,5;1,2;240;7,2; ; 
50540;18.05.2016-10:00;0,2;1;303;8,6; ; 
50540;18.05.2016-11:00;0,1;1;268;8,8; ; 
50540;18.05.2016-12:00;0,4;2,3;293;9,4; ; 
50540;18.05.2016-13:00;0;2;293;9; ; 
50540;18.05.2016-14:00;0,8;2,5;339;8,9; ; 
50540;18.05.2016-15:00;0,9;2,5;298;9; ; 
50540;18.05.2016-16:00;0,8;2,9;313;9,3; ; 
50540;18.05.2016-17:00;0,4;2,8;287;9; ; 
50540;18.05.2016-18:00;0,9;3;274;9; ; 
50540;18.05.2016-19:00;0,8;2,5;296;8,4; ; 
50540;18.05.2016-20:00;1,5;1,2;304;8,3; ; 
50540;18.05.2016-21:00;0,6;1,7;324;8,2; ; 
50540;18.05.2016-22:00;0,2;3,4;328;7,9; ; 
50540;18.05.2016-23:00;0,2;4,1;330;7,6; ; 
50540;19.05.2016-00:00;0,5;3;299;7,5; ; 
50540;19.05.2016-01:00;0;1,4;304;7,4; ; 
50540;19.05.2016-02:00;0;1,8;326;7,2; ; 
50540;19.05.2016-03:00;0;3,5;312;6,8; ; 
50540;19.05.2016-04:00;0;3,2;320;6,7; ; 
50540;19.05.2016-05:00;0;2,2;310;6,7; ; 
50540;19.05.2016-06:00;0;2,8;311;6,6; ; 
50540;19.05.2016-07:00;0;2;308;7,1; ; 
50540;19.05.2016-08:00;0;1,5;318;10,1; ; 
50540;19.05.2016-09:00;0;2,6;296;10,4; ; 
50540;19.05.2016-10:00;0;2,9;303;11; ; 
50540;19.05.2016-11:00;0;2;338;12,8; ; 
50540;19.05.2016-12:00;0;2,5;308;13,9; ; 
50540;19.05.2016-13:00;0;2,7;349;13,7; ; 
50540;19.05.2016-14:00;0;3,7;174;14,3; ; 
50540;19.05.2016-15:00;0;4,5;160;14,7; ; 
50540;19.05.2016-16:00;0;3;215;14,5; ; 
50540;19.05.2016-17:00;0;3,6;178;14,1; ; 
50540;19.05.2016-18:00;0;4,1;181;13,5; ; 
50540;19.05.2016-19:00;0;4,8;167;12; ; 
50540;19.05.2016-20:00;0;6,1;168;11; ; 
50540;19.05.2016-21:00;0;4,4;169;10,6; ; 
50540;19.05.2016-22:00;0;3,5;157;8,9; ; 
50540;19.05.2016-23:00;0;2,5;164;9,3; ; 
50540;20.05.2016-00:00;0;2,4;137;9,7; ; 
50540;20.05.2016-01:00;0;3;155;10,5; ; 
50540;20.05.2016-02:00;0,4;3,2;159;10,7; ; 
50540;20.05.2016-03:00;0,2;3,4;172;10,7; ; 
50540;20.05.2016-04:00;1,4;3;152;10,2; ; 
50540;20.05.2016-05:00;0,5;2,7;157;10,2; ; 
50540;20.05.2016-06:00;1,5;3,1;153;10,3; ; 
50540;20.05.2016-07:00;1,5;3,6;169;10,4; ; 
50540;20.05.2016-08:00;1,8;3,5;161;10,6; ; 
50540;20.05.2016-09:00;0,8;2,8;146;11; ; 
50540;20.05.2016-10:00;1;4,6;150;10,7; ; 
50540;20.05.2016-11:00;1;3,6;178;10,7; ; 
50540;20.05.2016-12:00;0,9;5;169;10,6; ; 
50540;20.05.2016-13:00;3;3,9;155;10,6; ; 
50540;20.05.2016-14:00;2,8;4,2;165;10,3; ; 
50540;20.05.2016-15:00;0,1;2,6;190;10,3; ; 
50540;20.05.2016-16:00;0;1,7;172;10,7; ; 
50540;20.05.2016-17:00;0;1,6;173;11,4; ; 
50540;20.05.2016-18:00;0;2,5;186;11,5; ; 
50540;20.05.2016-19:00;0;2,2;181;10,4; ; 
50540;20.05.2016-20:00;0,4;3,2;168;10,1; ; 
50540;20.05.2016-21:00;0,2;2,2;180;9,8; ; 
50540;20.05.2016-22:00;0,1;3,6;170;9,8; ; 
50540;20.05.2016-23:00;0;3,2;159;9,7; ; 
50540;21.05.2016-00:00;0;4,2;177;9,3; ; 
50540;21.05.2016-01:00;0;4,3;161;9,4; ; 
50540;21.05.2016-02:00;0;3,1;146;9; ; 
50540;21.05.2016-03:00;0;3,3;160;8,9; ; 
50540;21.05.2016-04:00;0;2,6;160;8,9; ; 
50540;21.05.2016-05:00;0;2,2;156;9,1; ; 
50540;21.05.2016-06:00;0;3,6;148;9,4; ; 
50540;21.05.2016-07:00;0;3,4;150;10,6; ; 
50540;21.05.2016-08:00;0;5,5;148;12,5; ; 
50540;21.05.2016-09:00;0;6,5;141;13; ; 
50540;21.05.2016-10:00;0;5,1;138;13,6; ; 
50540;21.05.2016-11:00;0;4,5;143;14,2; ; 
50540;21.05.2016-12:00;0;7,1;135;14,7; ; 
50540;21.05.2016-13:00;0;5,8;142;15,5; ; 
50540;21.05.2016-14:00;0;6,1;143;15,3; ; 
50540;21.05.2016-15:00;0;5,8;149;14,8; ; 
50540;21.05.2016-16:00;0;6,8;155;15,3; ; 
50540;21.05.2016-17:00;0;8,9;144;14,4; ; 
50540;21.05.2016-18:00;0,1;6,3;137;12,9; ; 
50540;21.05.2016-19:00;0;7,7;150;12,6; ; 
50540;21.05.2016-20:00;0;6;151;12,1; ; 
50540;21.05.2016-21:00;0;4,1;154;12,3; ; 
50540;21.05.2016-22:00;0;4,1;160;12,1; ; 
50540;21.05.2016-23:00;0,6;4;169;11,7; ; 
50540;22.05.2016-00:00;0,1;4,3;158;11,7; ; 
50540;22.05.2016-01:00;0;5,2;169;12,2; ; 
50540;22.05.2016-02:00;0;4,8;163;12,7; ; 
50540;22.05.2016-03:00;0;5,8;166;13,1; ; 
50540;22.05.2016-04:00;0;4,6;161;13,3; ; 
50540;22.05.2016-05:00;1,4;4;172;12,5; ; 
50540;22.05.2016-06:00;4,2;2,9;204;11,8; ; 
50540;22.05.2016-07:00;3,5;2,3;147;11,6; ; 
50540;22.05.2016-08:00;0,6;5,9;169;11,8; ; 
50540;22.05.2016-09:00;1,7;3,6;149;11,9; ; 
50540;22.05.2016-10:00;1,1;3,7;167;12,2; ; 
50540;22.05.2016-11:00;0,7;3,7;153;13,1; ; 
50540;22.05.2016-12:00;0,1;3,2;166;13,3; ; 
50540;22.05.2016-13:00;0,6;3,3;170;12,8; ; 
50540;22.05.2016-14:00;0,8;2,4;131;13; ; 
50540;22.05.2016-15:00;0,2;1;313;13,2; ; 
50540;22.05.2016-16:00;0,2;1,7;336;13,1; ; 
50540;22.05.2016-17:00;0,2;1,6;320;12,7; ; 
50540;22.05.2016-18:00;0,2;2,5;308;12,4; ; 
50540;22.05.2016-19:00;0;3,4;305;12; ; 
50540;22.05.2016-20:00;0;3,8;314;12,1; ; 
50540;22.05.2016-21:00;0;2,7;307;11,5; ; 
50540;22.05.2016-22:00;0,1;3,3;321;11,3; ; 
50540;22.05.2016-23:00;0,1;2,5;319;11; ; 
50540;23.05.2016-00:00;0;2,6;312;11; ; 
50540;23.05.2016-01:00;0;2,7;321;10,9; ; 
50540;23.05.2016-02:00;0;3,5;328;10,5; ; 
50540;23.05.2016-03:00;0;3,2;327;10,1; ; 
50540;23.05.2016-04:00;0;5,8;331;9,7; ; 
50540;23.05.2016-05:00;0;4,4;333;9,5; ; 
50540;23.05.2016-06:00;0;4,6;325;9,3; ; 
50540;23.05.2016-07:00;0;3,2;318;9,5; ; 
50540;23.05.2016-08:00;0;5,1;327;9,9; ; 
50540;23.05.2016-09:00;0;6,9;334;10; ; 
50540;23.05.2016-10:00;0;5,9;327;10,4; ; 
50540;23.05.2016-11:00;0;5;326;11,1; ; 
50540;23.05.2016-12:00;0;5,7;321;11,6; ; 
50540;23.05.2016-13:00;0;6,7;321;12; ; 
50540;23.05.2016-14:00;0;6,6;314;13; ; 
50540;23.05.2016-15:00;0;6,6;320;14,2; ; 
50540;23.05.2016-16:00;0;7,4;318;12,7; ; 
50540;23.05.2016-17:00;0;7,8;322;12,2; ; 
50540;23.05.2016-18:00;0;8,3;320;12; ; 
50540;23.05.2016-19:00;0;8,7;327;11,4; ; 
50540;23.05.2016-20:00;0;7;325;10,6; ; 
50540;23.05.2016-21:00;0;7,9;329;9,2; ; 
50540;23.05.2016-22:00;0;4,8;322;8,2; ; 
50540;23.05.2016-23:00;0;5,6;323;7,7; ; 
50540;24.05.2016-00:00;0;5,2;320;7,4; ; 
50540;24.05.2016-01:00;0;4,7;319;7,2; ; 
50540;24.05.2016-02:00;0;4,8;327;7,2; ; 
50540;24.05.2016-03:00;0;4,7;320;7; ; 
50540;24.05.2016-04:00;0;4,7;332;6,8; ; 
50540;24.05.2016-05:00;0;5,1;321;7,1; ; 
50540;24.05.2016-06:00;0;3,8;327;7,3; ; 
50540;24.05.2016-07:00;0;3,7;291;8,6; ; 
50540;24.05.2016-08:00;0;4,1;324;11,7; ; 
50540;24.05.2016-09:00;0;4,4;325;13,4; ; 
50540;24.05.2016-10:00;0;5,1;313;14,7; ; 
50540;24.05.2016-11:00;0;6,3;314;15,2; ; 
50540;24.05.2016-12:00;0;6,1;310;16,2; ; 
50540;24.05.2016-13:00;0;6,8;311;16,8; ; 
50540;24.05.2016-14:00;0;5;309;17,7; ; 
50540;24.05.2016-15:00;0;6,7;310;17,6; ; 
50540;24.05.2016-16:00;0;6;308;17,5; ; 
50540;24.05.2016-17:00;0;5,5;310;17; ; 
50540;24.05.2016-18:00;0;4,5;314;15,4; ; 
50540;24.05.2016-19:00;0;5,6;312;14,4; ; 
50540;24.05.2016-20:00;0;4,8;294;13,5; ; 
50540;24.05.2016-21:00;0;4,2;319;12,7; ; 
50540;24.05.2016-22:00;0;3,3;282;11,4; ; 
50540;24.05.2016-23:00;0;2,8;310;11,5; ; 
50540;25.05.2016-00:00;0;2,5;313;11; ; 
50540;25.05.2016-01:00;0;2,4;341;11; ; 
50540;25.05.2016-02:00;0;1;242;9,7; ; 
50540;25.05.2016-03:00;0;0,8;209;8,3; ; 
50540;25.05.2016-04:00;0;1,2;123;8,1; ; 
50540;25.05.2016-05:00;0;2,6;167;8,4; ; 
50540;25.05.2016-06:00;0;2,9;142;9,9; ; 
50540;25.05.2016-07:00;0;5,5;84;14; ; 
50540;25.05.2016-08:00;0;4,7;95;16,2; ; 
50540;25.05.2016-09:00;0;6,4;86;16,8; ; 
50540;25.05.2016-10:00;0;4;76;17,4; ; 
50540;25.05.2016-11:00;0;3,6;87;19,1; ; 
50540;25.05.2016-12:00;0;3,3;84;19,8; ; 
50540;25.05.2016-13:00;0;3,3;106;20,1; ; 
50540;25.05.2016-14:00;0;3,9;93;20,7; ; 
50540;25.05.2016-15:00;0;1,2;44;21,5; ; 
50540;25.05.2016-16:00;0;1,9;184;21,3; ; 
50540;25.05.2016-17:00;0;3,5;73;20,9; ; 
50540;25.05.2016-18:00;0;3,9;62;19,6; ; 
50540;25.05.2016-19:00;0;3,4;78;18,9; ; 
50540;25.05.2016-20:00;0;2,2;54;18,2; ; 
50540;25.05.2016-21:00;0;2,4;82;16; ; 
50540;25.05.2016-22:00;0;1,5;135;14,7; ; 
50540;25.05.2016-23:00;0;1,5;152;12,6; ; 
50540;26.05.2016-00:00;0;0,9;166;11,6; ; 
50540;26.05.2016-01:00;0;0,9;180;10,6; ; 
50540;26.05.2016-02:00;0;1,8;133;10,1; ; 
50540;26.05.2016-03:00;0;1,5;142;9,4; ; 
50540;26.05.2016-04:00;0;2,5;124;9; ; 
50540;26.05.2016-05:00;0;2,4;120;10,1; ; 
50540;26.05.2016-06:00;0;4;141;12,4; ; 
50540;26.05.2016-07:00;0;2,7;124;13,8; ; 
50540;26.05.2016-08:00;0;4,2;153;16; ; 
50540;26.05.2016-09:00;0;4,2;154;16,8; ; 
50540;26.05.2016-10:00;0;4,1;160;17,5; ; 
50540;26.05.2016-11:00;0;3,9;167;18,2; ; 
50540;26.05.2016-12:00;0;3,1;195;18,4; ; 
50540;26.05.2016-13:00;0;3,8;172;18,7; ; 
50540;26.05.2016-14:00;0;4,4;164;18,7; ; 
50540;26.05.2016-15:00;0;2,3;226;19; ; 
50540;26.05.2016-16:00;0;2,9;215;19,1; ; 
50540;26.05.2016-17:00;0;4,7;336;18,1; ; 
50540;26.05.2016-18:00;0;3,3;323;16,1; ; 
50540;26.05.2016-19:00;0;2,6;304;15; ; 
50540;26.05.2016-20:00;0;2,3;292;14,1; ; 
50540;26.05.2016-21:00;0;2,2;304;13,1; ; 
50540;26.05.2016-22:00;0;0,7;356;12,1; ; 
50540;26.05.2016-23:00;0;1,5;120;11,1; ; 
50540;27.05.2016-00:00;0;1,4;135;10,1; ; 
50540;27.05.2016-01:00;0;1,2;150;9,2; ; 
50540;27.05.2016-02:00;0;1,7;144;9,2; ; 
50540;27.05.2016-03:00;0;0,8;153;8,6; ; 
50540;27.05.2016-04:00;0;1,7;150;8,2; ; 
50540;27.05.2016-05:00;0;0,9;142;8,2; ; 
50540;27.05.2016-06:00;0;0,4;60;8,8; ; 
50540;27.05.2016-07:00;0;1,3;332;10; ; 
50540;27.05.2016-08:00;0;1,6;319;12,1; ; 
50540;27.05.2016-09:00;0;1,7;306;13,2; ; 
50540;27.05.2016-10:00;0;1,5;310;15,8; ; 
50540;27.05.2016-11:00;0;3,1;338;17,7; ; 
50540;27.05.2016-12:00;0;3,1;320;18,6; ; 
50540;27.05.2016-13:00;0;3,6;337;18,5; ; 
50540;27.05.2016-14:00;0;4,3;320;18,9; ; 
50540;27.05.2016-15:00;0;3,7;322;18,9; ; 
50540;27.05.2016-16:00;0;4,6;339;18,7; ; 
50540;27.05.2016-17:00;0;3,2;307;19; ; 
50540;27.05.2016-18:00;0;3,3;313;16,8; ; 
50540;27.05.2016-19:00;0;2,8;316;15,8; ; 
50540;27.05.2016-20:00;0;2,1;310;14,9; ; 
50540;27.05.2016-21:00;0;2,6;323;13,7; ; 
50540;27.05.2016-22:00;0;2,3;310;11,9; ; 
50540;27.05.2016-23:00;0;1,7;311;10,5; ; 
50540;28.05.2016-00:00;0;1,5;311;9,7; ; 
50540;28.05.2016-01:00;0;1,9;291;9,7; ; 
50540;28.05.2016-02:00;0;1,3;291;9,4; ; 
50540;28.05.2016-03:00;0;0,9;282;9,2; ; 
50540;28.05.2016-04:00;0;1,4;255;8,7; ; 
50540;28.05.2016-05:00;0;1,2;244;9,1; ; 
50540;28.05.2016-06:00;0;0,7;218;9,5; ; 
50540;28.05.2016-07:00;0;0,5;176;11; ; 
50540;28.05.2016-08:00;0;1,1;283;11,9; ; 
50540;28.05.2016-09:00;0;1;307;14,6; ; 
50540;28.05.2016-10:00;0;2;330;15,4; ; 
50540;28.05.2016-11:00;0;1;326;16,3; ; 
50540;28.05.2016-12:00;0;3,6;163;15,8; ; 
50540;28.05.2016-13:00;0,2;4,1;135;13,6; ; 
50540;28.05.2016-14:00;2,1;5,1;152;11,3; ; 
50540;28.05.2016-15:00;1,5;2,8;142;10,3; ; 
50540;28.05.2016-16:00;0,1;4,3;144;11,5; ; 
50540;28.05.2016-17:00;0,1;4,1;151;12,4; ; 
50540;28.05.2016-18:00;0;3,6;144;12,5; ; 
50540;28.05.2016-19:00;0;3,1;155;12,5; ; 
50540;28.05.2016-20:00;0;1,9;148;11,8; ; 
50540;28.05.2016-21:00;0;0,6;217;10,8; ; 
50540;28.05.2016-22:00;0;1,2;158;10,4; ; 
50540;28.05.2016-23:00;0;1,8;153;10,1; ; 
50540;29.05.2016-00:00;0;1,5;156;9,7; ; 
50540;29.05.2016-01:00;0;1,4;275;9,4; ; 
50540;29.05.2016-02:00;0;0,6;129;9; ; 
50540;29.05.2016-03:00;0;0,5;313;8,5; ; 
50540;29.05.2016-04:00;0;0,4;66;8,4; ; 
50540;29.05.2016-05:00;0;0,3;352;9,2; ; 
50540;29.05.2016-06:00;0;0,4;52;9,9; ; 
50540;29.05.2016-07:00;0;0,9;316;11; ; 
50540;29.05.2016-08:00;0;1,3;103;15,4; ; 
50540;29.05.2016-09:00;0;0,6;360;18; ; 
50540;29.05.2016-10:00;0;1,4;275;19,3; ; 
50540;29.05.2016-11:00;0;0,7;84;20,9; ; 
50540;29.05.2016-12:00;0;0,6;56;21; ; 
50540;29.05.2016-13:00;0;3;305;21,6; ; 
50540;29.05.2016-14:00;0;3,5;352;20,9; ; 
50540;29.05.2016-15:00;0;1,9;345;20,2; ; 
50540;29.05.2016-16:00;0;2,5;312;20,2; ; 
50540;29.05.2016-17:00;0;2,4;259;21,6; ; 
50540;29.05.2016-18:00;0;1,8;177;20,2; ; 
50540;29.05.2016-19:00;0;2;70;19,8; ; 
50540;29.05.2016-20:00;0;2,2;120;18,3; ; 
50540;29.05.2016-21:00;0;1,5;116;16,5; ; 
50540;29.05.2016-22:00;0;4,4;72;16,4; ; 
50540;29.05.2016-23:00;0;1,5;131;15; ; 
50540;30.05.2016-00:00;0;0,4;5;14; ; 
50540;30.05.2016-01:00;0;1;215;12,7; ; 
50540;30.05.2016-02:00;0;1,1;326;11,9; ; 
50540;30.05.2016-03:00;0;1,1;126;11,3; ; 
50540;30.05.2016-04:00;0;0,4;136;11; ; 
50540;30.05.2016-05:00;0;0,4;259;11,6; ; 
50540;30.05.2016-06:00;0;0,4;315;12,3; ; 
50540;30.05.2016-07:00;0;0,7;146;14,1; ; 
50540;30.05.2016-08:00;0;0,7;173;17,1; ; 
50540;30.05.2016-09:00;0;2;291;19,4; ; 
50540;30.05.2016-10:00;0;1,9;284;19; ; 
50540;30.05.2016-11:00;0;1,3;338;19,8; ; 
50540;30.05.2016-12:00;0;0,4;3;20; ; 
50540;30.05.2016-13:00;0,2;2,7;87;18,9; ; 
50540;30.05.2016-14:00;0,2;2,7;64;18,1; ; 
50540;30.05.2016-15:00;0,5;2;82;16,8; ; 
50540;30.05.2016-16:00;0;5,1;79;17; ; 
50540;30.05.2016-17:00;0;3,5;83;16,7; ; 
50540;30.05.2016-18:00;0,2;0,3;32;16,2; ; 
50540;30.05.2016-19:00;0,5;1,9;319;15,1; ; 
50540;30.05.2016-20:00;0,5;1,5;175;14,9; ; 
50540;30.05.2016-21:00;0,1;0,5;344;14,3; ; 
50540;30.05.2016-22:00;0,1;1,1;308;14,1; ; 
50540;30.05.2016-23:00;0;0,5;313;14; ; 
50540;31.05.2016-00:00;0;0,3;342;14,1; ; 
50540;31.05.2016-01:00;0;1,6;95;14,2; ; 
50540;31.05.2016-02:00;0;1;323;14,1; ; 
50540;31.05.2016-03:00;0,1;1,9;301;13,7; ; 
50540;31.05.2016-04:00;2,5;0,9;297;13,6; ; 
50540;31.05.2016-05:00;2,1;1;311;13,6; ; 
50540;31.05.2016-06:00;1,2;1,5;311;13,5; ; 
50540;31.05.2016-07:00;0,5;0,8;289;13,7; ; 
50540;31.05.2016-08:00;0,2;1,5;300;14,3; ; 
50540;31.05.2016-09:00;0,3;1,4;332;15,7; ; 
50540;31.05.2016-10:00;0;1,6;283;16,4; ; 
50540;31.05.2016-11:00;0;1,4;314;16,2; ; 
50540;31.05.2016-12:00;0;2;297;16,9; ; 
50540;31.05.2016-13:00;0;2,6;300;19,5; ; 
50540;31.05.2016-14:00;0;2,5;292;20,2; ; 
50540;31.05.2016-15:00;0;3;317;22,4; ; 
50540;31.05.2016-16:00;0;3,3;315;22,6; ; 
50540;31.05.2016-17:00;0;4,2;313;21,9; ; 
50540;31.05.2016-18:00;0;3,7;309;21,4; ; 
50540;31.05.2016-19:00;0;4;305;20,7; ; 
50540;31.05.2016-20:00;0;3,4;330;18,8; ; 
50540;31.05.2016-21:00;0;2,8;322;18; ; 
50540;31.05.2016-22:00;0;3,5;303;17,1; ; 
50540;31.05.2016-23:00;0;1,3;317;16,8; ;